,C,C_rand,E,E_rand,L,L_rand,M,M_rand,a,a_rand,sigma,sigma_rand
0,0.44501157500471683,0.2396872949320527,0.4304588561073706,0.48411062496129836,2.3985363171030922,2.0993273827150047,0.39148198969632453,0.1249772927086647,0.09839954481630904,-0.0700837697837918,1.6250254433756204,1.0
1,0.44501157500471683,0.2174227562868005,0.4304588561073706,0.4847265379086393,2.3985363171030922,2.095731629933584,0.39148198969632453,0.12731870848392296,0.09839954481630904,-0.07679807569425844,1.788363015246689,1.0
2,0.44501157500471683,0.22092106802269246,0.4304588561073706,0.48403281395004144,2.3985363171030922,2.0997927154278946,0.39148198969632453,0.13036605163106316,0.09839954481630904,-0.08266456062740023,1.7634546652489054,1.0
3,0.44501157500471683,0.21856495556002697,0.4304588561073706,0.48340967256640077,2.3985363171030922,2.1020982275053934,0.39148198969632453,0.12549473019465238,0.09839954481630904,-0.05266971271118482,1.7844216581434573,1.0
4,0.44501157500471683,0.2276831828667354,0.4304588561073706,0.4838304070463133,2.3985363171030922,2.1006599263928254,0.39148198969632453,0.13131361885790951,0.09839954481630904,-0.07657874897168201,1.7117873214190515,1.0
5,0.44501157500471683,0.22756787299188863,0.4304588561073706,0.4854780925985942,2.3985363171030922,2.092368543508609,0.39148198969632453,0.12797845829875495,0.09839954481630904,-0.09161575675817406,1.7058947815404288,1.0
6,0.44501157500471683,0.21978595203448484,0.4304588561073706,0.484643545098188,2.3985363171030922,2.0962604171073225,0.39148198969632453,0.13341693967455034,0.09839954481630904,-0.07528298446703349,1.7695804520474392,1.0
7,0.44501157500471683,0.22130242377743747,0.4304588561073706,0.4835040403042075,2.3985363171030922,2.1023308938618386,0.39148198969632453,0.13050373916136204,0.09839954481630904,-0.0667199522043918,1.7625437689454024,1.0
8,0.44501157500471683,0.21647140482862245,0.4304588561073706,0.48430800311722366,2.3985363171030922,2.0987139895934686,0.39148198969632453,0.12302424263054784,0.09839954481630904,-0.08673604011831655,1.7987786763522513,1.0
9,0.44501157500471683,0.22394406446908866,0.4304588561073706,0.48465418183949754,2.3985363171030922,2.0961335081856256,0.39148198969632453,0.128253340360523,0.09839954481630904,-0.07014799252576139,1.7366183795743748,1.0
10,0.44501157500471683,0.2144728736203135,0.4304588561073706,0.4829221253788968,2.3985363171030922,2.105567071365117,0.39148198969632453,0.13324246504110085,0.09839954481630904,-0.05405676237108616,1.8214687224500126,1.0
11,0.44501157500471683,0.22741594236311696,0.4304588561073706,0.48420698922108973,2.3985363171030922,2.099348534201954,0.39148198969632453,0.12919719835807913,0.09839954481630904,-0.07737082945597658,1.7127289890261215,1.0
12,0.44501157500471683,0.2254107106264474,0.4304588561073706,0.48395082695761227,2.3985363171030922,2.1001522907060366,0.39148198969632453,0.12868349357751643,0.09839954481630904,-0.06929653629889164,1.7286268280850952,1.0
13,0.44501157500471683,0.2213596296711372,0.4304588561073706,0.4821642578289175,2.3985363171030922,2.109543550911629,0.39148198969632453,0.12501307033802114,0.09839954481630904,-0.04950260252385581,1.7681336312351073,1.0
14,0.44501157500471683,0.2138205965650843,0.4304588561073706,0.48484098902824574,2.3985363171030922,2.095520115064089,0.39148198969632453,0.12241229022606344,0.09839954481630904,-0.08411664086250376,1.818307398476201,1.0
15,0.44501157500471683,0.21765914429721525,0.4304588561073706,0.48451204256407365,2.3985363171030922,2.0975295063242947,0.39148198969632453,0.12577315715276743,0.09839954481630904,-0.0945861595534317,1.7879532956170145,1.0
16,0.44501157500471683,0.2105293262283012,0.4304588561073706,0.48440042181822796,2.3985363171030922,2.097550657811244,0.39148198969632453,0.12918074158762055,0.09839954481630904,-0.07314586165091856,1.8485230332182192,1.0
17,0.44501157500471683,0.22162864036606558,0.4304588561073706,0.48404983767739257,2.3985363171030922,2.0996658065061973,0.39148198969632453,0.1270442020403109,0.09839954481630904,-0.07832043742057436,1.757718413160389,1.0
18,0.44501157500471683,0.22702588677824734,0.4304588561073706,0.484388474782082,2.3985363171030922,2.0975295063242947,0.39148198969632453,0.13236654697750636,0.09839954481630904,-0.06057395697286546,1.7141850644878678,1.0
19,0.44501157500471683,0.2229229391437778,0.4304588561073706,0.4820520322454654,2.3985363171030922,2.110368458902661,0.39148198969632453,0.12383658732124392,0.09839954481630904,-0.058137128027558174,1.7564206551883526,1.0
20,0.44501157500471683,0.23060426551963487,0.4304588561073706,0.4856671477960137,2.3985363171030922,2.091226363213334,0.39148198969632453,0.13157997908276392,0.09839954481630904,-0.09350972177135908,1.682514120445919,1.0
21,0.44501157500471683,0.2216777165656304,0.4304588561073706,0.48381131042010983,2.3985363171030922,2.1003426540885823,0.39148198969632453,0.12121608725609764,0.09839954481630904,-0.07295884825763548,1.7578957721405004,1.0
22,0.44501157500471683,0.225451539346061,0.4304588561073706,0.48430556405100844,2.3985363171030922,2.098523626210923,0.39148198969632453,0.1264300194030254,0.09839954481630904,-0.08685075243730693,1.7269734736484763,1.0
23,0.44501157500471683,0.22729572773578421,0.4304588561073706,0.4851567957664638,2.3985363171030922,2.093976056516773,0.39148198969632453,0.1271895897428072,0.09839954481630904,-0.09224869409569995,1.7092494443359123,1.0
24,0.44501157500471683,0.22435076219110764,0.4304588561073706,0.48225597123042635,2.3985363171030922,2.1100300351114685,0.39148198969632453,0.1291602469219853,0.09839954481630904,-0.08981307690024143,1.7449624938527222,1.0
25,0.44501157500471683,0.22110684374935485,0.4304588561073706,0.48429496264174543,2.3985363171030922,2.0988408985151654,0.39148198969632453,0.12711333925714466,0.09839954481630904,-0.07355704876617165,1.7611743103186075,1.0
26,0.44501157500471683,0.21898161714768016,0.4304588561073706,0.4840619509698346,2.3985363171030922,2.099285079741106,0.39148198969632453,0.13016953290708497,0.09839954481630904,-0.06775276699191897,1.7786429250301297,1.0
27,0.44501157500471683,0.21645886332316747,0.4304588561073706,0.48479414550692634,2.3985363171030922,2.094970176403401,0.39148198969632453,0.13002745533958815,0.09839954481630904,-0.07035600958308495,1.7956739402649928,1.0
28,0.44501157500471683,0.21674460073054586,0.4304588561073706,0.48409458763180924,2.3985363171030922,2.0990735648716106,0.39148198969632453,0.12678861736130595,0.09839954481630904,-0.06464584038039828,1.7968192028927057,1.0
29,0.44501157500471683,0.22599173661992375,0.4304588561073706,0.48366148955846144,2.3985363171030922,2.1010618046448664,0.39148198969632453,0.12662618598498232,0.09839954481630904,-0.062223956349888636,1.7249292115689927,1.0
30,0.44501157500471683,0.2250892900998246,0.4304588561073706,0.4845552906051634,2.3985363171030922,2.097592960785143,0.39148198969632453,0.12675082078436115,0.09839954481630904,-0.0941979956852995,1.7289856713991867,1.0
31,0.44501157500471683,0.22620271202928238,0.4304588561073706,0.4850076629742458,2.3985363171030922,2.0951393882989975,0.39148198969632453,0.12818086953255492,0.09839954481630904,-0.09234684583342752,1.718462750467862,1.0
